material;modelo;color;genero;categoria;descripcion;por_pedir;en_bodega;en_transito
1032787;UNEEK TREKKER;PLAZA TAUPE/CAMEO ROSE;WOMEN;;UNEEK TREKKER W-PLAZA TAUPE/CAMEO ROSE;498;0;0
1031897;ELLE MILA BACKSTRAP;BRINDLE;WOMEN;;ELLE MILA BACKSTRAP W-BRINDLE;497;0;0
1030671;NEWPORT H2;MONOCHROME/PLAZA TAUPE;MEN;;NEWPORT H2 M-MONOCHROME/PLAZA TAUPE;496;0;0
1029134;WAIMEA TG;BLACK/BLACK;WOMEN;;WAIMEA TG W-BLACK/BLACK;496;0;0
1031753;HYPERPORT H2;CAMEO ROSE/BIRCH;WOMEN;;HYPERPORT H2 W-CAMEO ROSE/BIRCH;495;0;0
1002435;PYRENEES;SYRUP;MEN;;PYRENEES M-SYRUP;494;0;0
1032287;TARGHEE APEX WP;BRINDLE/CANTEEN;MEN;;TARGHEE APEX WP M-BRINDLE/CANTEEN;493;3;0
1031836;HIGHTRAIL MID WP;ALLOY/THISTLE;WOMEN;;HIGHTRAIL MID WP W-ALLOY/THISTLE;488;0;0
1031799;KS86;ABBEY STONE/BRINDLE;WOMEN;;KS86 W-ABBEY STONE/BRINDLE;488;0;0
1032033;TARGHEE APEX WP;BLACK/ABBEY STONE;MEN;;TARGHEE APEX WP M-BLACK/ABBEY STONE;488;3;0
1031743;HYPERPORT H2;STEEL GREY/BURNT BRICK;MEN;;HYPERPORT H2 M-STEEL GREY/BURNT BRICK;487;0;0
1030627;KNX T-TOE;CHIPMUNK/BIRCH;WOMEN;;KNX T-TOE W-CHIPMUNK/BIRCH;487;0;0
1032620;HOWSER III SLIDE;FRONTIER FLANNEL RED;MEN;;HOWSER III SLIDE M-FRONTIER FLANNEL RED;486;0;0
1032645;JASPER ZIONIC;CHIPMUNK/HUCKLEBERRY;MEN;;JASPER ZIONIC M-CHIPMUNK/HUCKLEBERRY;484;0;0
1031822;KS86 LEA;BLACK;MEN;;KS86 LEA M-BLACK;484;0;0
1029000;TARGHEE IV VENT;ALLOY/GRANITE GREEN;WOMEN;;TARGHEE IV VENT W-ALLOY/GRANITE GREEN;481;0;0
1031171;GRETA CHELSEA II WP;BISON/BLACK;WOMEN;;GRETA CHELSEA II WP W-BISON/BLACK;480;0;0
1032291;HIGHTRAIL MID WP;MEDITERRANEA/BIRCH;WOMEN;;HIGHTRAIL MID WP W-MEDITERRANEA/BIRCH;480;0;0
1029144;KONA FLIP TG;BLACK/STEEL GREY;MEN;;KONA FLIP TG M-BLACK/STEEL GREY;476;0;0
1030148;ASTORIA WEST SANDAL;PLAZA TAUPE/ROASTED PECAN;WOMEN;;ASTORIA WEST SANDAL W-PLAZA TAUPE/ROASTE;473;0;0
1032665;JASPER ZIONIC;CHIPMUNK/SYMPHONIC SUNSET;WOMEN;;JASPER ZIONIC W-CHIPMUNK/SYMPHONIC SUNSE;470;0;0
1032646;JASPER ZIONIC;MAGNET/STEEL GREY;MEN;;JASPER ZIONIC M-MAGNET/STEEL GREY;470;0;0
1032040;TARGHEE APEX WP;SAFARI/BIRCH;WOMEN;;TARGHEE APEX WP W-SAFARI/BIRCH;470;0;0
1031170;GRETA CHELSEA II WP;BLACK/BLACK;WOMEN;;GRETA CHELSEA II WP W-BLACK/BLACK;469;0;0
1031898;ELLE MILA BACKSTRAP;BLACK/BLACK;WOMEN;;ELLE MILA BACKSTRAP W-BLACK/BLACK;468;0;0
